countries_id,name,region,area,population
0,Afghanistan,South Asia,653000,38.04
1,Albania,Southern Europe,29000,2.85
2,Algeria,Northern Africa,2382000,43.05
3,Andorra,Southern Europe,470,0.08
4,Angola,Central Africa,1247000,31.83
5,Antigua and Barbuda,Caribbean,440,0.1
6,Argentina,South America,2780000,44.94
7,Armenia,Western Asia,30000,2.96
8,Australia,Australia/New Zealand,7741000,25.36
9,Austria,Western Europe,84000,8.88
10,Azerbaijan,Western Asia,87000,10.02
11,Bahamas,Caribbean,14000,0.39
12,Bahrain,Western Asia,778,1.64
13,Bangladesh,South Asia,148000,163.05
14,Barbados,Caribbean,430,0.29
15,Belarus,Eastern Europe,208000,9.47
16,Belgium,Western Europe,31000,11.48
17,Belize,Central America,23000,0.39
18,Benin,Western Africa,115000,11.8
19,Bhutan,South Asia,38000,0.76
20,Bolivia,South America,1099000,11.51
21,Bosnia and Herzegovina,Southern Europe,51000,3.3
22,Botswana,Southern Africa,582000,2.3
23,Brazil,South America,8516000,211.05
24,Brunei,Southeast Asia,5770,0.43
25,Bulgaria,Eastern Europe,111000,6.98
26,Burkina Faso,Western Africa,274000,20.32
27,Burma,Southeast Asia,677000,54.05
28,Burundi,Eastern Africa,28000,11.53
29,Cambodia,Southeast Asia,181000,16.49
30,Cameroon,Central Africa,475000,25.88
31,Canada,North America,9985000,37.59
32,Cape Verde,Western Africa,4030,0.55
33,Central African Republic,Central Africa,623000,4.75
34,Chad,Central Africa,1284000,15.95
35,Chile,South America,757000,18.95
36,China,East Asia,9563000,1397.72
37,Colombia,South America,1142000,50.34
38,Comoros,Eastern Africa,1861,0.85
39,Cook Islands,Polynesia,236,0.01
40,Costa Rica,Central America,51000,5.05
41,Croatia,Southern Europe,57000,4.07
42,Cuba,Caribbean,110000,11.33
43,Cyprus,Western Asia,9250,1.2
44,Czechia,Eastern Europe,79000,10.67
45,Democratic Republic of the Congo,Central Africa,2345000,86.79
46,Denmark,Northern Europe,43000,5.82
47,Djibouti,Eastern Africa,23000,0.97
48,Dominica,Caribbean,750,0.07
49,Dominican Republic,Caribbean,49000,10.74
50,East Timor,Southeast Asia,15000,1.29
51,Ecuador,South America,256000,17.37
52,Egypt,Northern Africa,1001000,100.39
53,El Salvador,Central America,21000,6.45
54,Equatorial Guinea,Central Africa,28000,1.36
55,Eritrea,Eastern Africa,118000,3.5
56,Estonia,Northern Europe,45000,1.33
57,Ethiopia,Eastern Africa,1104000,112.08
58,Federated States of Micronesia,Micronesia,700,0.11
59,Fiji,Melanesia,18000,0.89
60,Finland,Northern Europe,338000,5.52
61,France,Western Europe,549000,67.06
62,Gabon,Central Africa,268000,2.17
63,Gambia,Western Africa,11000,2.35
64,Georgia,Western Asia,70000,3.72
65,Germany,Western Europe,358000,83.13
66,Ghana,Western Africa,239000,30.42
67,Greece,Southern Europe,132000,10.72
68,Grenada,Caribbean,340,0.11
69,Guatemala,Central America,109000,16.6
70,Guinea,Western Africa,246000,12.77
71,Guinea-Bissau,Western Africa,36000,1.92
72,Guyana,South America,215000,0.78
73,Haiti,Caribbean,28000,11.26
74,Holy See (Vatican City),Southern Europe,0,0.0
75,Honduras,Central America,112000,9.75
76,Hong Kong,East Asia,1110,7.51
77,Hungary,Eastern Europe,93000,9.77
78,Iceland,Northern Europe,103000,0.36
79,India,South Asia,3287000,1366.42
80,Indonesia,Southeast Asia,1914000,270.63
81,Iran,South Asia,1745000,82.91
82,Iraq,Western Asia,435000,39.31
83,Ireland,British Isles,70000,4.94
84,Israel,Western Asia,22000,9.05
85,Italy,Southern Europe,301000,60.3
86,Ivory Coast,Western Africa,322000,25.72
87,Jamaica,Caribbean,11000,2.95
88,Japan,East Asia,378000,126.26
89,Jordan,Western Asia,89000,10.1
90,Kazakhstan,Central Asia,2725000,18.51
91,Kenya,Eastern Africa,580000,52.57
92,Kiribati,Micronesia,810,0.12
93,Kuwait,Western Asia,18000,4.21
94,Kyrgyzstan,Central Asia,200000,6.46
95,Laos,Southeast Asia,237000,7.17
96,Latvia,Northern Europe,64000,1.91
97,Lebanon,Western Asia,10000,6.86
98,Lesotho,Southern Africa,30000,2.13
99,Liberia,Western Africa,111000,4.94
100,Libya,Northern Africa,1760000,6.78
101,Liechtenstein,Western Europe,160,0.04
102,Lithuania,Northern Europe,65000,2.79
103,Luxembourg,Western Europe,2590,0.62
104,Macao,East Asia,30,0.64
105,Madagascar,Eastern Africa,587000,26.97
106,Malawi,Eastern Africa,118000,18.63
107,Malaysia,Southeast Asia,330000,31.95
108,Maldives,South Asia,300,0.53
109,Mali,Western Africa,1240000,19.66
110,Malta,Southern Europe,320,0.5
111,Marshall Islands,Micronesia,180,0.06
112,Mauritania,Western Africa,1031000,4.53
113,Mauritius,Eastern Africa,2040,1.27
